Date,Prices,Day_count,Month,Season,Weekday,Is_holiday,Rolling_mean_7,Rolling_mean_30,Lag_1,Lag_7,Lag_30,Daily_delta,CPI,Total_inflation,USD_IDR,Temperature,Rainfall,Humidity,Day_in_month,Diff_value,Percentage
2020-01-02,36000,1,1,Wet,3,False,NULL,NULL,NULL,NULL,NULL,NULL,115.818,0,13689.23145,27.22,15.89,83.85,2,NULL,0
2020-01-03,35500,2,1,Wet,4,False,NULL,NULL,36000,NULL,NULL,-500,115.818,0,13884.78613,25.74,6.3,84.54,3,-Rp500,-1.39
2020-01-04,35500,3,1,Wet,5,False,NULL,NULL,35500,NULL,NULL,0,115.818,0,13884.78613,27.17,5.98,80.17,4,-Rp500,-1.39
2020-01-05,35500,4,1,Wet,6,False,NULL,NULL,35500,NULL,NULL,0,115.818,0,13884.78613,27.08,10.94,84.39,5,-Rp500,-1.39
2020-01-06,35500,5,1,Wet,0,False,NULL,NULL,35500,NULL,NULL,0,115.818,0,13934.31641,27.13,1.12,76.09,6,Rp0,0
2020-01-07,36000,6,1,Wet,1,False,NULL,NULL,35500,NULL,NULL,500,115.818,0,13926.5,26.67,22.5,81.65,7,Rp500,1.41
2020-01-08,36000,7,1,Wet,2,False,35714.28571428572,NULL,36000,NULL,NULL,0,115.818,0,13867.23633,26.12,12.1,87.27,8,Rp0,0
2020-01-09,36000,8,1,Wet,3,False,35714.28571428572,NULL,36000,36000,NULL,0,115.818,0,13886.93945,26.64,7.82,84.93,9,Rp0,0
2020-01-10,36000,9,1,Wet,4,False,35785.71428571428,NULL,36000,35500,NULL,0,115.818,0,13827.56055,26.76,14.01,87.64,10,Rp0,0
2020-01-11,36000,10,1,Wet,5,False,35857.142857142855,NULL,36000,35500,NULL,0,115.818,0,13827.56055,27.01,7.98,84.03,11,Rp0,0
2020-01-12,36000,11,1,Wet,6,False,35928.57142857143,NULL,36000,35500,NULL,0,115.818,0,13827.56055,26.38,9.66,86.08,12,Rp0,0
2020-01-13,39000,12,1,Wet,0,False,36428.57142857143,NULL,36000,35500,NULL,3000,115.818,0,13522.43457,26.63,0.78,84.52,13,Rp3000,8.33
2020-01-14,39000,13,1,Wet,1,False,36857.142857142855,NULL,39000,36000,NULL,0,115.818,0,13665.30469,27.3,5.62,81.92,14,Rp0,0
